A,B,C,D,E,F,G
-0.45,-0.453,-0.476,-0.468,-0.476,-0.471
-0.40,-0.401,-0.418,-0.402,-0.408,-0.402
-0.35,-0.355,-0.361,-0.357,-0.343,-0.351
-0.30,-0.297,-0.313,-0.305,-0.293,-0.294
-0.25,-0.251,-0.243,-0.247,-0.244,-0.251
-0.20,-0.192,-0.193,-0.196,-0.190,-0.189
-0.15,-0.145,-0.142,-0.163,-0.145,-0.152
-0.10,-0.095,-0.096,-0.088,-0.103,-0.109
-0.05,-0.051,-0.052,-0.045,-0.061,-0.044
0.00,-0.008,-0.006,-0.006,-0.009,-0.006
0.05,0.067,0.069,0.070,0.072,0.068
0.10,0.124,0.121,0.119,0.114,0.121
0.15,0.173,0.169,0.166,0.165,0.164
0.20,0.223,0.221,0.226,0.224,0.230
0.25,0.281,0.279,0.280,0.276,0.280
0.30,0.329,0.332,0.331,0.324,0.327
0.35,0.380,0.377,0.381,0.378,0.383
0.40,0.414,0.435,0.427,0.431,0.416
0.45,0.491,0.486,0.492,0.488,0.463
